YEAR,STATE,COUNTY_NAME,RATE_PER_100,,,,,
2023,GA,Tattnall County,21.5,,,,,
2023,GA,Macon County,21.2,,,,,
2023,GA,Effingham County,20.6,,,,,
2023,GA,Bryan County,20.4,,,,,
2023,GA,Forsyth County,20.4,,,,,
2023,GA,Habersham County,20.4,,,,,
2023,GA,Screven County,20.2,,,,,
2023,GA,Jasper County,19.8,,,,,
2023,GA,Clayton County,19.6,,,,,
2023,GA,Polk County,19.4,,,,,
2023,GA,Washington County,18.8,,,,,
2023,GA,Morgan County,18.7,,,,,
2023,GA,White County,18.1,,,,,
2023,GA,Lamar County,17.6,,,,,
2023,GA,Walton County,17.4,,,,,
2023,GA,Telfair County,16.5,,,,,
2023,GA,Newton County,16.4,,,,,
2023,GA,Lumpkin County,16.1,,,,,
2023,GA,Paulding County,16.1,,,,,
2023,GA,Dade County,14.6,,,,,
2023,GA,Webster County,13.7,,,,,
2023,GA,Terrell County,13,,,,,
2023,GA,Monroe County,12.8,,,,,
2023,GA,Bleckley County,12.7,,,,,
2023,GA,Stewart County,11.8,,,,,
2023,GA,Randolph County,10.9,,,,,
2023,GA,Warren County,10.4,,,,,
2023,GA,Chattooga County,10.1,,,,,
2023,GA,Walker County,9.9,,,,,
2023,GA,Banks County,9.5,,,,,
2023,GA,Schley County,8.7,,,,,
2023,GA,Hancock County,7.7,,,,,
2023,GA,Johnson County,7.3,,,,,
2023,GA,Brantley County,6.8,,,,,
2023,GA,Pike County,4.8,,,,,
2023,GA,Madison County,4.4,,,,,
2023,GA,Harris County,4.2,,,,,
2023,GA,Wilcox County,3.9,,,,,
2023,GA,Quitman County,3.6,,,,,
2023,GA,Dooly County,3.3,,,,,
2023,GA,McIntosh County,3.2,,,,,
2023,GA,Meriwether County,2.8,,,,,
2023,GA,Taylor County,2.7,,,,,
2023,GA,Marion County,2.6,,,,,
2023,GA,Oglethorpe County,2.2,,,,,
2023,GA,Talbot County,2.1,,,,,
2023,GA,Glascock County,1.2,,,,,
2023,GA,Treutlen County,1.2,,,,,
2023,GA,Montgomery County,0.5,,,,,
2023,GA,Chattahoochee County,0.3,,,,,
2023,GA,Twiggs County,0.2,,,,,
2023,GA,Heard County,0,,,,,
2023,GA,Wheeler County,0,,,,,
2023,GA,Echols County,Data unavailable,,,,,
2023,GA,Long County,Data unavailable,,,,,
2023,GA,Taliaferro County,Data unavailable,,,,,
2023,HI,Hawaii County,31.6,,,,,
2023,HI,Kauai County,28.1,,,,,
2023,HI,Honolulu County,20.6,,,,,
2023,HI,Maui County,20.6,,,,,
2023,HI,Kalawao County,Data unavailable,,,,,
2023,IA,Monroe County,92.3,,,,,
2023,IA,Ringgold County,79,,,,,
2023,IA,Cerro Gordo County,62.4,,,,,
2023,IA,Johnson County,53.6,,,,,
2023,IA,Polk County,52.1,,,,,
2023,IA,Harrison County,51.5,,,,,
2023,IA,Wayne County,51.3,,,,,
2023,IA,Black Hawk County,49.6,,,,,
2023,IA,Appanoose County,46.9,,,,,
2023,IA,Union County,46.4,,,,,
2023,IA,Page County,45.5,,,,,
2023,IA,Scott County,45.5,,,,,
2023,IA,Clay County,43.2,,,,,
2023,IA,Calhoun County,43.1,,,,,
2023,IA,O'Brien County,42.7,,,,,
2023,IA,Webster County,41.3,,,,,
2023,IA,Pottawattamie County,39.9,,,,,
2023,IA,Cass County,39.7,,,,,
2023,IA,Des Moines County,39.7,,,,,
2023,IA,Carroll County,36.4,,,,,
2023,IA,Shelby County,35.8,,,,,
2023,IA,Monona County,35.7,,,,,
2023,IA,Jefferson County,35.2,,,,,
2023,IA,Floyd County,34.8,,,,,
2023,IA,Van Buren County,34.6,,,,,
2023,IA,Hamilton County,34.3,,,,,
2023,IA,Ida County,34,,,,,
2023,IA,Woodbury County,34,,,,,
2023,IA,Linn County,33.6,,,,,
2023,IA,Wapello County,33.4,,,,,
2023,IA,Pocahontas County,33,,,,,
2023,IA,Poweshiek County,32.6,,,,,
2023,IA,Hardin County,32.5,,,,,
2023,IA,Clinton County,31.9,,,,,
2023,IA,Lucas County,31.2,,,,,
2023,IA,Allamakee County,31,,,,,
2023,IA,Mahaska County,31,,,,,
2023,IA,Greene County,30.6,,,,,
2023,IA,Henry County,29.9,,,,,
2023,IA,Mills County,29.8,,,,,
2023,IA,Wright County,29.6,,,,,
2023,IA,Dubuque County,29.2,,,,,
2023,IA,Sac County,29.2,,,,,
2023,IA,Muscatine County,28.3,,,,,
2023,IA,Guthrie County,28.2,,,,,
2023,IA,Montgomery County,28.1,,,,,
2023,IA,Lee County,27.6,,,,,
2023,IA,Marion County,27.5,,,,,
2023,IA,Davis County,27.2,,,,,
2023,IA,Marshall County,27,,,,,
2023,IA,Story County,26.5,,,,,
2023,IA,Dickinson County,25.3,,,,,
2023,IA,Winnebago County,24.9,,,,,
2023,IA,Audubon County,24.7,,,,,
2023,IA,Mitchell County,24.5,,,,,
2023,IA,Boone County,24.2,,,,,
2023,IA,Bremer County,24.1,,,,,
2023,IA,Emmet County,24,,,,,
2023,IA,Adams County,23.5,,,,,
2023,IA,Winneshiek County,23.4,,,,,
2023,IA,Grundy County,22.2,,,,,
2023,IA,Crawford County,22,,,,,
2023,IA,Decatur County,22,,,,,
2023,IA,Lyon County,21.8,,,,,
2023,IA,Jasper County,21.4,,,,,
2023,IA,Fremont County,21.2,,,,,
2023,IA,Humboldt County,21,,,,,
2023,IA,Delaware County,20,,,,,
2023,IA,Washington County,18.8,,,,,
2023,IA,Cherokee County,18.6,,,,,
2023,IA,Clarke County,18.4,,,,,
2023,IA,Jackson County,18.3,,,,,
2023,IA,Tama County,17.7,,,,,
2023,IA,Madison County,17.6,,,,,
2023,IA,Iowa County,16.6,,,,,
2023,IA,Benton County,16.4,,,,,
2023,IA,Warren County,16.1,,,,,
2023,IA,Cedar County,15.8,,,,,
2023,IA,Fayette County,15.4,,,,,
2023,IA,Palo Alto County,14.7,,,,,
2023,IA,Plymouth County,14.6,,,,,
2023,IA,Kossuth County,14.4,,,,,
2023,IA,Osceola County,14.2,,,,,
2023,IA,Jones County,13.6,,,,,
2023,IA,Hancock County,13,,,,,
2023,IA,Buena Vista County,12.9,,,,,
2023,IA,Sioux County,12.6,,,,,
2023,IA,Buchanan County,11.7,,,,,
2023,IA,Butler County,11.3,,,,,
2023,IA,Taylor County,10.8,,,,,
2023,IA,Chickasaw County,9.8,,,,,
2023,IA,Adair County,9.5,,,,,
2023,IA,Clayton County,8.9,,,,,
